Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-07T06:24:36.420000Z,2018-01-07T06:24:54.260000Z,589.3034673343182,No
2018-01-07T06:45:00.020000Z,2018-01-07T06:45:24.280000Z,1982.94101012568,Si.
2018-01-07T07:20:08.920000Z,2018-01-07T07:20:25.900000Z,705.5528412437682,No
2018-01-07T09:14:06.220000Z,2018-01-07T09:14:29.840000Z,783.4548411795932,No
2018-01-07T13:32:18.920000Z,2018-01-07T13:32:36.700000Z,587.514330978828,No
2018-01-07T16:15:18.740000Z,2018-01-07T16:15:34.880000Z,1083.0836240570425,Si.
2018-01-07T17:54:46.560000Z,2018-01-07T17:55:05.020000Z,839.2593938956137,No
2018-01-07T18:12:31.740000Z,2018-01-07T18:12:51.700000Z,732.7498957832995,No
2018-01-07T22:28:08.380000Z,2018-01-07T22:28:26.560000Z,533.5530453995075,No
2018-01-07T22:28:50.420000Z,2018-01-07T22:29:03.460000Z,608.3157308836356,Si.
2018-01-08T01:18:13.100000Z,2018-01-08T01:20:49.480000Z,654.2426561795794,No
2018-01-08T04:25:51.000000Z,2018-01-08T04:26:08.440000Z,541.9445149792984,No
2018-01-08T07:26:50.440000Z,2018-01-08T07:27:08.100000Z,725.1821035185179,No
2018-01-08T08:08:04.200000Z,2018-01-08T08:08:23.700000Z,508.6955478444443,No
2018-01-08T13:00:36.640000Z,2018-01-08T13:03:23.240000Z,766.396620552044,No
2018-01-08T14:57:31.680000Z,2018-01-08T14:57:51.620000Z,7958.695051614254,No
2018-01-08T15:15:44.660000Z,2018-01-08T15:16:57.020000Z,633.5679329106741,No
2018-01-08T15:51:32.160000Z,2018-01-08T15:51:49.780000Z,636.6054149931072,No
2018-01-08T16:24:21.080000Z,2018-01-08T16:24:37.360000Z,1019.1986789722309,No
2018-01-08T17:30:02.960000Z,2018-01-08T17:30:24.300000Z,2472.045214182807,No
2018-01-08T19:23:12.940000Z,2018-01-08T19:23:25.040000Z,838.1961007395618,No
2018-01-08T19:25:57.240000Z,2018-01-08T19:26:25.700000Z,807.5025173459661,No
2018-01-08T19:27:55.520000Z,2018-01-08T19:28:12.940000Z,792.8029716596935,No
