Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-08T01:18:13.100000Z, 2018-01-08T01:20:49.480000Z
2018-01-08T04:25:51.000000Z, 2018-01-08T04:26:08.440000Z
2018-01-08T07:26:14.500000Z, 2018-01-08T07:26:32.940000Z
2018-01-08T07:26:50.440000Z, 2018-01-08T07:27:08.100000Z
2018-01-08T08:08:04.200000Z, 2018-01-08T08:08:23.700000Z
2018-01-08T13:00:36.640000Z, 2018-01-08T13:03:23.240000Z
2018-01-08T14:07:04.800000Z, 2018-01-08T14:08:01.140000Z
2018-01-08T14:57:31.680000Z, 2018-01-08T14:57:51.620000Z
2018-01-08T15:15:44.660000Z, 2018-01-08T15:16:57.020000Z
2018-01-08T15:51:32.160000Z, 2018-01-08T15:51:49.780000Z
2018-01-08T16:24:21.080000Z, 2018-01-08T16:24:37.360000Z
2018-01-08T17:30:02.960000Z, 2018-01-08T17:30:24.300000Z
2018-01-08T19:15:12.380000Z, 2018-01-08T19:15:24.520000Z
2018-01-08T19:23:12.940000Z, 2018-01-08T19:23:25.040000Z
2018-01-08T19:25:57.240000Z, 2018-01-08T19:26:25.700000Z
2018-01-08T19:27:55.520000Z, 2018-01-08T19:28:12.940000Z
2018-01-08T21:18:16.920000Z, 2018-01-08T21:18:35.340000Z
2018-01-08T22:40:34.460000Z, 2018-01-08T22:40:51.880000Z
2018-01-08T22:53:22.460000Z, 2018-01-08T22:55:43.540000Z
2018-01-09T00:23:32.340000Z, 2018-01-09T00:23:51.380000Z
2018-01-09T00:24:59.340000Z, 2018-01-09T00:25:18.280000Z
2018-01-09T01:33:27.640000Z, 2018-01-09T01:33:46.480000Z
2018-01-09T02:04:26.460000Z, 2018-01-09T02:04:55.720000Z
2018-01-09T02:05:35.680000Z, 2018-01-09T02:05:53.480000Z
2018-01-09T04:28:30.740000Z, 2018-01-09T04:29:33.860000Z
2018-01-09T04:34:16.580000Z, 2018-01-09T04:34:39.820000Z
2018-01-09T15:29:19.600000Z, 2018-01-09T15:31:04.360000Z
2018-01-09T18:16:54.420000Z, 2018-01-09T18:17:08.660000Z
2018-01-09T18:47:51.160000Z, 2018-01-09T18:49:53.120000Z
2018-01-09T20:30:31.340000Z, 2018-01-09T20:31:21.460000Z
2018-01-09T21:31:03.320000Z, 2018-01-09T21:31:21.660000Z
2018-01-10T11:06:43.520000Z, 2018-01-10T11:07:32.580000Z
2018-01-10T13:07:07.200000Z, 2018-01-10T13:07:31.240000Z
2018-01-10T13:34:10.660000Z, 2018-01-10T13:34:27.280000Z
2018-01-10T16:53:08.540000Z, 2018-01-10T16:53:25.340000Z
2018-01-10T18:36:00.540000Z, 2018-01-10T18:36:18.440000Z
2018-01-10T21:36:13.340000Z, 2018-01-10T21:36:32.880000Z
2018-01-10T23:44:29.920000Z, 2018-01-10T23:44:45.800000Z
2018-01-11T00:27:50.780000Z, 2018-01-11T00:28:10.940000Z
2018-01-11T00:36:09.460000Z, 2018-01-11T00:36:24.880000Z
2018-01-11T06:29:49.040000Z, 2018-01-11T06:30:23.040000Z
2018-01-11T07:51:05.840000Z, 2018-01-11T07:51:23.840000Z
2018-01-11T08:05:04.440000Z, 2018-01-11T08:05:29.060000Z
2018-01-11T08:06:14.300000Z, 2018-01-11T08:06:30.540000Z
2018-01-11T10:06:10.360000Z, 2018-01-11T10:06:28.120000Z
2018-01-11T11:11:00.500000Z, 2018-01-11T11:11:22.900000Z
2018-01-11T13:07:25.500000Z, 2018-01-11T13:07:50.360000Z
2018-01-11T13:09:20.340000Z, 2018-01-11T13:09:36.820000Z
2018-01-11T13:41:47.300000Z, 2018-01-11T13:42:02.200000Z
2018-01-11T13:43:46.580000Z, 2018-01-11T13:44:01.920000Z
2018-01-11T15:01:41.780000Z, 2018-01-11T15:02:04.580000Z
2018-01-11T17:25:47.660000Z, 2018-01-11T17:26:08.540000Z
2018-01-11T19:10:36.520000Z, 2018-01-11T19:10:57.740000Z
2018-01-11T19:23:17.120000Z, 2018-01-11T19:23:29.660000Z
2018-01-11T19:27:05.260000Z, 2018-01-11T19:27:29.580000Z
2018-01-11T20:26:55.960000Z, 2018-01-11T20:27:11.380000Z
2018-01-12T05:36:47.180000Z, 2018-01-12T05:37:54.840000Z
2018-01-12T07:41:22.280000Z, 2018-01-12T07:41:36.800000Z
2018-01-12T07:42:04.760000Z, 2018-01-12T07:42:23.160000Z
2018-01-12T07:57:47.980000Z, 2018-01-12T08:00:23.400000Z
2018-01-12T10:42:24.140000Z, 2018-01-12T10:42:41.920000Z
2018-01-12T14:18:28.620000Z, 2018-01-12T14:19:01.340000Z
